	Source file	DateTime	Date	Time	Duration(s)	Comments	Final207_235	Final207_235_Int2SE	Final207_235_Prop2SE	Final206_238	Final206_238_Int2SE	Final206_238_Prop2SE	Final238_206	Final238_206_Prop2SE	Final207_206	Final207_206_Int2SE	Final207_206_Prop2SE	Final208_232	Final208_232_Int2SE	Final206_208	Final206_208_Int2SE	FinalAge206_238	FinalAge206_238_Int2SE	FinalAge206_238_Prop2SE	FinalAge207_235	FinalAge207_235_Int2SE	FinalAge207_235_Prop2SE	FinalAge208_232	FinalAge208_232_Int2SE	Final206_204	Final206_204_Int2SE	Final207_204	Final207_204_Int2SE	Final208_204	Final208_204_Int2SE	Approx_U_PPM	Approx_U_PPM_Int2SE	Approx_Th_PPM	Approx_Th_PPM_Int2SE	Approx_Pb_PPM	Approx_Pb_PPM_Int2SE	FInal_U_Th_Ratio	FInal_U_Th_Ratio_Int2SE	Final238_206	Final238_206_Int2SE	FinalAge207_206	FinalAge207_206_Int2SE	FinalDiscPercent	FinalDiscPercent_Int2SE	FinalAnd207_235	FinalAnd207_235_Int2SE	FinalAnd207_235_Prop2SE	FinalAnd206_238	FinalAnd206_238_Int2SE	FinalAnd206_238_Prop2SE	FinalAnd208_232	FinalAnd208_232_Int2SE	FinalAnd238_206	FinalAnd238_206_Int2SE	FinalAnd207_206	FinalAnd207_206_Int2SE	FinalAgeAnd207_206	FinalAgeAnd207_206_Int2SE	FinalAgeAnd207_235	FinalAgeAnd207_235_Int2SE	FinalAgeAnd207_235_Prop2SE	FinalAgeAnd206_238	FinalAgeAnd206_238_Int2SE	FinalAgeAnd206_238_Prop2SE	FinalAgeAnd208_232	FinalAgeAnd208_232_Int2SE	FinalFracCommonPb	FinalFracCommonPb_Int2SE	FinalFracLostPb	FinalFracLostPb_Int2SE	AndersenSolution	AndersenSolution_Int2SE	FinalPbC207_235	FinalPbC207_235_Int2SE	FinalPbC207_235_Prop2SE	FinalPbC206_238	FinalPbC206_238_Int2SE	FinalPbC206_238_Prop2SE	FinalPbC208_232	FinalPbC208_232_Int2SE	FinalPbC207_206	FinalPbC207_206_Int2SE	FinalPbC238_206	FinalPbC238_206_Int2SE	FinalAgePbC207_206	FinalAgePbC207_206_Int2SE	FinalAgePbC207_235	FinalAgePbC207_235_Int2SE	FinalAgePbC207_235_Prop2SE	FinalAgePbC206_238	FinalAgePbC206_238_Int2SE	FinalAgePbC206_238_Prop2SE	FinalAgePbC208_232	FinalAgePbC208_232_Int2SE	ExtraMetaData
TS03_40	VP-X-TS-03_042.FIN2	04/08/2012 (7) 02:15:39.24	04/08/2012 (7)	02:15:39.24	19.97	VP-X-TS-03_042.FIN2	0.817	0.023	0.036	0.0961	0.0014	0.0053		0.5738906	0.0593	0.0016	0.0021	no value	NAN	no value	NAN	591.0	8.3	31	605	13	20	no value	NAN	56	27	3.1	1.6	10.3	5.7	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.40583	0.15	598	37	6.97	0.81	0.791	0.016	0.025	0.0960	0.0015	0.0056	no value	NAN	10.48	0.16	0.06022	0.00052	613	18	590.7	9.1	14	590.5	8.8	33	no value	NAN	0.0017	0.0020	0.0017	0.0020	0.204	0.038	-1.64	0.31	0.48	0.0751	0.0026	0.0098	no value	NAN	-0.189	0.038	13.73	0.57	1490	300	20	230	360	471	16	58	no value	NAN	FILENAME: VP-X-TS-03_042.FIN2;
TS03_41	VP-X-TS-03_043.FIN2	04/08/2012 (7) 02:16:59.24	04/08/2012 (7)	02:16:59.24	19.97	VP-X-TS-03_043.FIN2	0.995	0.021	0.035	0.1098	0.0014	0.0053		0.4396137	0.0634	0.0011	0.0018	no value	NAN	no value	NAN	671.6	8.0	30	701	11	18	no value	NAN	163	71	10.6	4.6	4.8	2.1	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.107468	0.12	717	20	4.85	0.56	0.930	0.016	0.027	0.1092	0.0014	0.0053	no value	NAN	9.20	0.12	0.06194	0.00037	671	13	666.4	8.3	14	668.5	8.2	31	no value	NAN	0.0043	0.0013	0.0043	0.0013	0.272	0.039	-0.23	0.15	0.26	0.0992	0.0017	0.0065	no value	NAN	-0.018	0.011	10.09	0.17	810	180	-10	140	240	609	10	38	no value	NAN	FILENAME: VP-X-TS-03_043.FIN2;
TS03_42	VP-X-TS-03_045.FIN2	04/08/2012 (7) 02:19:39.24	04/08/2012 (7)	02:19:39.24	19.97	VP-X-TS-03_045.FIN2	1.108	0.029	0.040	0.1132	0.0017	0.0053		0.4136024	0.0681	0.0015	0.0021	no value	NAN	no value	NAN	691.0	9.6	31	753	14	19	no value	NAN	256	65	17.1	4.5	45	12	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.833922	0.13	852	32	7.26	0.76	0.976	0.020	0.028	0.1123	0.0017	0.0055	no value	NAN	8.94	0.14	0.06324	0.00049	715	16	690	10	14	685.7	9.9	32	no value	NAN	0.0091	0.0020	0.0091	0.0020	0.189	0.038	-0.15	0.16	0.22	0.1027	0.0018	0.0059	no value	NAN	-0.010	0.010	9.81	0.18	960	170	100	110	150	630	11	35	no value	NAN	FILENAME: VP-X-TS-03_045.FIN2;
TS03_43	VP-X-TS-03_046.FIN2	04/08/2012 (7) 02:22:19.24	04/08/2012 (7)	02:22:19.24	19.97	VP-X-TS-03_046.FIN2	1.104	0.039	0.048	0.1245	0.0024	0.0056		0.3612845	0.0629	0.0021	0.0026	no value	NAN	no value	NAN	756	14	32	752	19	23	no value	NAN	99	62	8.7	4.8	8.3	5.0	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.032129	0.15	704	40	9.2	1.1	1.110	0.030	0.037	0.1243	0.0025	0.0059	no value	NAN	8.09	0.17	0.06417	0.00054	745	18	758	14	18	755	14	34	no value	NAN	0.0015	0.0030	0.0015	0.0030	0.171	0.037	-1.67	0.53	0.66	0.1018	0.0045	0.010	no value	NAN	-0.30	0.11	11.8	1.1	1740	260	580	180	230	625	26	62	no value	NAN	FILENAME: VP-X-TS-03_046.FIN2;
TS03_44	VP-X-TS-03_047.FIN2	04/08/2012 (7) 02:23:39.24	04/08/2012 (7)	02:23:39.24	19.97	VP-X-TS-03_047.FIN2	0.848	0.027	0.039	0.0974	0.0017	0.0053		0.5586734	0.0601	0.0020	0.0025	no value	NAN	no value	NAN	599.0	9.9	31	623	15	21	no value	NAN	66	28	4.1	1.7	20.4	8.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.26694	0.19	631	39	8.95	0.93	0.803	0.019	0.028	0.0971	0.0018	0.0056	no value	NAN	10.35	0.20	0.05977	0.00045	598	16	596	11	16	597	10	33	no value	NAN	0.0034	0.0026	0.0034	0.0026	0.153	0.036	-1.34	0.32	0.45	0.0780	0.0032	0.010	no value	NAN	-0.172	0.039	13.51	0.60	1290	300	230	180	260	483	19	60	no value	NAN	FILENAME: VP-X-TS-03_047.FIN2;
TS03_45	VP-X-TS-03_048.FIN2	04/08/2012 (7) 02:24:59.24	04/08/2012 (7)	02:24:59.24	19.97	VP-X-TS-03_048.FIN2	1.901	0.038	0.047	0.1743	0.0027	0.0057		0.1876204	0.0755	0.0011	0.0018	no value	NAN	no value	NAN	1035	15	31	1080	13	16	no value	NAN	310	140	26.4	9.3	155	60	no value	NAN	no value	NAN	no value	NAN	no value	NAN	5.737235	0.089	1095	18	4.93	0.58	1.765	0.041	0.051	0.1735	0.0028	0.0059	no value	NAN	5.788	0.093	0.07348	0.00057	1025	16	1034	15	19	1031	15	33	no value	NAN	0.0056	0.0015	0.0056	0.0015	0.257	0.039	1.08	0.13	0.16	0.1669	0.0027	0.0057	no value	NAN	0.0447	0.0051	6.01	0.10	781	96	729	62	77	996	15	31	no value	NAN	FILENAME: VP-X-TS-03_048.FIN2;
TS03_46	VP-X-TS-03_049.FIN2	04/08/2012 (7) 02:26:19.24	04/08/2012 (7)	02:26:19.24	19.97	VP-X-TS-03_049.FIN2	0.826	0.033	0.043	0.0953	0.0017	0.0052		0.5725554	0.0603	0.0024	0.0028	no value	NAN	no value	NAN	587	10	31	610	18	24	no value	NAN	54	19	3.3	1.4	14.3	5.2	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.49318	0.20	644	50	10.4	1.2	0.779	0.019	0.025	0.0952	0.0019	0.0057	no value	NAN	10.59	0.21	0.05956	0.00045	587	16	585	11	15	587	11	33	no value	NAN	0.0041	0.0033	0.0041	0.0033	0.153	0.036	-1.98	0.45	0.59	0.0722	0.0038	0.012	no value	NAN	-0.334	0.091	16.2	1.4	2010	240	340	210	270	450	23	70	no value	NAN	FILENAME: VP-X-TS-03_049.FIN2;
TS03_47	VP-X-TS-03_050.FIN2	04/08/2012 (7) 02:27:39.24	04/08/2012 (7)	02:27:39.24	19.97	VP-X-TS-03_050.FIN2	0.825	0.021	0.035	0.0940	0.0013	0.0051		0.5771842	0.0606	0.0015	0.0021	no value	NAN	no value	NAN	579.7	7.5	31	612	12	19	no value	NAN	100	120	6.1	7.4	30	47	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.6383	0.14	659	27	6.93	0.76	0.765	0.014	0.022	0.0933	0.0013	0.0053	no value	NAN	10.68	0.15	0.05945	0.00043	582	16	578.0	7.9	13	575.1	7.6	31	no value	NAN	0.0052	0.0019	0.0052	0.0019	0.210	0.038	0.24	0.18	0.30	0.0885	0.0020	0.0084	no value	NAN	0.011	0.014	11.40	0.27	1320	150	340	110	190	547	12	49	no value	NAN	FILENAME: VP-X-TS-03_050.FIN2;
TS03_48	VP-X-TS-03_051.FIN2	04/08/2012 (7) 02:31:39.24	04/08/2012 (7)	02:31:39.24	19.97	VP-X-TS-03_051.FIN2	0.787	0.031	0.042	0.0935	0.0016	0.0052		0.5948125	0.0583	0.0022	0.0027	no value	NAN	no value	NAN	575.8	9.2	31	588	17	23	no value	NAN	55	43	3.6	2.2	18	12	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.69519	0.18	577	46	9.9	1.1	0.759	0.017	0.023	0.0929	0.0017	0.0055	no value	NAN	10.79	0.20	0.05928	0.00047	581	17	573	10	13	573.3	9.9	33	no value	NAN	0.0022	0.0030	0.0022	0.0030	0.144	0.035	-0.86	0.35	0.47	0.0790	0.0030	0.010	no value	NAN	-0.122	0.041	13.34	0.59	1530	260	440	150	200	489	18	60	no value	NAN	FILENAME: VP-X-TS-03_051.FIN2;
TS03_49	VP-X-TS-03_052.FIN2	04/08/2012 (7) 02:33:00.24	04/08/2012 (7)	02:33:00.24	19.97	VP-X-TS-03_052.FIN2	0.857	0.022	0.035	0.0981	0.0013	0.0051		0.5299467	0.0612	0.0016	0.0021	no value	NAN	no value	NAN	603.4	7.7	30	628	12	20	no value	NAN	127	37	7.0	2.8	18.4	6.4	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.19368	0.13	657	30	7.28	0.80	0.808	0.014	0.023	0.0975	0.0014	0.0055	no value	NAN	10.30	0.14	0.05998	0.00037	606	13	602.2	7.9	13	599.4	8.2	32	no value	NAN	0.0053	0.0021	0.0053	0.0021	0.192	0.038	-0.65	0.24	0.39	0.0851	0.0022	0.0086	no value	NAN	-0.076	0.024	12.05	0.35	1210	230	190	150	240	526	13	51	no value	NAN	FILENAME: VP-X-TS-03_052.FIN2;
TS03_50	VP-X-TS-03_053.FIN2	04/08/2012 (7) 02:34:20.24	04/08/2012 (7)	02:34:20.24	19.97	VP-X-TS-03_053.FIN2	3.023	0.070	0.076	0.2008	0.0032	0.0059		0.146327	0.1033	0.0020	0.0025	no value	NAN	no value	NAN	1180	17	32	1412	18	19	no value	NAN	152	38	15.4	3.9	43	11	no value	NAN	no value	NAN	no value	NAN	no value	NAN	4.98008	0.082	1698	21	15.7	1.2	2.133	0.058	0.063	0.1942	0.0035	0.0065	no value	NAN	5.173	0.093	0.07968	0.00081	1186	20	1155	19	20	1143	19	35	no value	NAN	0.0340	0.0030	0.0340	0.0030	0.0	1.0	-1.01	0.45	0.48	0.1709	0.0042	0.0077	no value	NAN	-0.052	0.020	5.93	0.16	1340	230	660	190	200	1015	23	42	no value	NAN	FILENAME: VP-X-TS-03_053.FIN2;
TS03_51	VP-X-TS-03_054.FIN2	04/08/2012 (7) 02:35:40.24	04/08/2012 (7)	02:35:40.24	19.97	VP-X-TS-03_054.FIN2	1.255	0.031	0.041	0.1261	0.0020	0.0054		0.3395968	0.0694	0.0015	0.0021	no value	NAN	no value	NAN	765	11	31	827	14	19	no value	NAN	148	51	10.1	3.4	23.7	8.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.930214	0.12	894	26	7.37	0.79	1.128	0.026	0.035	0.1254	0.0021	0.0057	no value	NAN	7.97	0.13	0.06534	0.00045	783	14	765	12	16	762	12	33	no value	NAN	0.0098	0.0020	0.0098	0.0020	0.177	0.037	-0.30	0.26	0.35	0.1128	0.0029	0.0078	no value	NAN	-0.032	0.017	8.94	0.23	1370	190	340	130	180	688	17	45	no value	NAN	FILENAME: VP-X-TS-03_054.FIN2;
TS03_52	VP-X-TS-03_055.FIN2	04/08/2012 (7) 02:37:00.24	04/08/2012 (7)	02:37:00.24	19.97	VP-X-TS-03_055.FIN2	0.798	0.038	0.047	0.0907	0.0018	0.0053		0.6442602	0.0600	0.0029	0.0032	no value	NAN	no value	NAN	559	11	31	596	21	26	no value	NAN	62	18	3.6	1.3	17.1	7.1	no value	NAN	no value	NAN	no value	NAN	no value	NAN	11.02536	0.23	661	54	12.7	1.4	0.730	0.020	0.025	0.0898	0.0019	0.0056	no value	NAN	11.12	0.24	0.05886	0.00049	561	18	555	12	15	554	11	33	no value	NAN	0.0050	0.0039	0.0050	0.0039	0.126	0.034	-2.78	0.57	0.71	0.0613	0.0047	0.014	no value	NAN	-0.56	0.29	20.3	4.4	1840	310	340	220	270	381	29	83	no value	NAN	FILENAME: VP-X-TS-03_055.FIN2;
TS03_53	VP-X-TS-03_056.FIN2	04/08/2012 (7) 02:39:40.24	04/08/2012 (7)	02:39:40.24	19.97	VP-X-TS-03_056.FIN2	1.134	0.044	0.052	0.1239	0.0024	0.0056		0.3647921	0.0641	0.0024	0.0028	no value	NAN	no value	NAN	752	14	32	771	21	24	no value	NAN	72	24	3.5	1.5	11.9	5.4	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.071025	0.15	756	39	10.5	1.1	1.114	0.032	0.038	0.1234	0.0026	0.0060	no value	NAN	8.12	0.17	0.06449	0.00055	754	18	755	15	18	750	15	34	no value	NAN	0.0018	0.0033	0.0018	0.0033	0.150	0.036	-2.40	0.57	0.68	0.0959	0.0050	0.012	no value	NAN	-0.18	0.16	10.6	1.6	1790	270	560	210	250	590	30	69	no value	NAN	FILENAME: VP-X-TS-03_056.FIN2;
TS03_54	VP-X-TS-03_057.FIN2	04/08/2012 (7) 02:41:00.24	04/08/2012 (7)	02:41:00.24	19.97	VP-X-TS-03_057.FIN2	0.915	0.035	0.044	0.0957	0.0015	0.0053		0.578698	0.0680	0.0024	0.0028	no value	NAN	no value	NAN	588.8	9.0	31	655	18	24	no value	NAN	101	25	6.5	1.6	20.6	5.3	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.44932	0.17	894	49	11.3	1.3	0.777	0.017	0.022	0.0944	0.0016	0.0055	no value	NAN	10.66	0.18	0.06047	0.00056	616	19	583.0	9.6	12	581.0	9.5	33	no value	NAN	0.0131	0.0032	0.0131	0.0032	0.135	0.034	-1.87	0.37	0.47	0.0721	0.0033	0.011	no value	NAN	-0.304	0.076	15.7	1.1	1490	310	30	220	290	448	20	68	no value	NAN	FILENAME: VP-X-TS-03_057.FIN2;
TS03_55	VP-X-TS-03_058.FIN2	04/08/2012 (7) 02:42:20.24	04/08/2012 (7)	02:42:20.24	19.97	VP-X-TS-03_058.FIN2	0.852	0.019	0.034	0.0974	0.0013	0.0052		0.5481323	0.0613	0.0013	0.0020	no value	NAN	no value	NAN	598.9	7.8	31	624	11	19	no value	NAN	217	67	12.4	4.6	59	21	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.26694	0.14	651	26	6.07	0.69	0.808	0.015	0.027	0.0971	0.0014	0.0056	no value	NAN	10.30	0.15	0.06027	0.00045	612	16	599.6	8.5	15	597.8	8.3	33	no value	NAN	0.0033	0.0017	0.0033	0.0017	0.240	0.039	-0.13	0.15	0.26	0.0892	0.0019	0.0074	no value	NAN	-0.013	0.012	11.22	0.23	1050	140	90	130	220	551	11	43	no value	NAN	FILENAME: VP-X-TS-03_058.FIN2;
TS03_56	VP-X-TS-03_059.FIN2	04/08/2012 (7) 02:43:40.24	04/08/2012 (7)	02:43:40.24	19.97	VP-X-TS-03_059.FIN2	0.769	0.025	0.037	0.0915	0.0014	0.0053		0.6330437	0.0599	0.0018	0.0023	no value	NAN	no value	NAN	564.8	8.4	31	578	14	22	no value	NAN	58	29	1.5	3.2	18.1	9.1	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.92896	0.17	613	37	8.37	0.85	0.741	0.016	0.023	0.0916	0.0015	0.0055	no value	NAN	11.00	0.18	0.05892	0.00040	563	15	563.2	9.0	13	565.7	8.9	33	no value	NAN	0.0027	0.0024	0.0027	0.0024	0.150	0.036	-0.98	0.30	0.45	0.0759	0.0031	0.012	no value	NAN	-0.171	0.050	14.38	0.81	1660	260	150	180	270	471	19	69	no value	NAN	FILENAME: VP-X-TS-03_059.FIN2;
TS03_57	VP-X-TS-03_060.FIN2	04/08/2012 (7) 02:45:00.24	04/08/2012 (7)	02:45:00.24	19.97	VP-X-TS-03_060.FIN2	1.350	0.030	0.041	0.1386	0.0022	0.0056		0.2915154	0.0691	0.0013	0.0020	no value	NAN	no value	NAN	836	12	31	867	13	18	no value	NAN	183	64	12.7	4.4	26.7	9.9	no value	NAN	no value	NAN	no value	NAN	no value	NAN	7.215007	0.11	902	22	5.73	0.61	1.282	0.029	0.039	0.1382	0.0023	0.0059	no value	NAN	7.24	0.12	0.06714	0.00049	840	15	838	13	17	834	13	33	no value	NAN	0.0035	0.0017	0.0035	0.0017	0.234	0.039	-0.10	0.17	0.24	0.1265	0.0025	0.0064	no value	NAN	-0.0065	0.0098	7.90	0.16	940	180	150	140	190	768	14	37	no value	NAN	FILENAME: VP-X-TS-03_060.FIN2;
TS03_58	VP-X-TS-03_061.FIN2	04/08/2012 (7) 02:49:00.24	04/08/2012 (7)	02:49:00.24	19.97	VP-X-TS-03_061.FIN2	1.061	0.022	0.035	0.1175	0.0015	0.0054		0.3911272	0.0651	0.0013	0.0020	no value	NAN	no value	NAN	716.0	8.6	31	734	11	17	no value	NAN	218	57	14.2	3.8	14.7	4.1	no value	NAN	no value	NAN	no value	NAN	no value	NAN	8.510638	0.11	782	22	5.63	0.65	1.025	0.018	0.030	0.1169	0.0016	0.0057	no value	NAN	8.51	0.11	0.06405	0.00044	742	15	716.3	9.2	15	713.1	9.2	33	no value	NAN	0.0028	0.0017	0.0028	0.0017	0.240	0.039	-0.22	0.17	0.28	0.1064	0.0019	0.0069	no value	NAN	-0.019	0.013	9.44	0.18	820	170	170	120	190	652	11	40	no value	NAN	FILENAME: VP-X-TS-03_061.FIN2;
TS03_59	VP-X-TS-03_062.FIN2	04/08/2012 (7) 02:50:20.24	04/08/2012 (7)	02:50:20.24	19.97	VP-X-TS-03_062.FIN2	0.836	0.017	0.032	0.1011	0.0013	0.0054		0.5283132	0.0597	0.0011	0.0018	no value	NAN	no value	NAN	621.1	7.3	31	616.8	9.2	18	no value	NAN	145	78	8.8	4.7	29	16	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.891197	0.12	600	23	4.80	0.52	0.844	0.015	0.028	0.1008	0.0013	0.0055	no value	NAN	9.90	0.13	0.06032	0.00039	614	14	620.3	8.0	15	619.1	7.6	32	no value	NAN	-0.0003	0.0013	-0.0003	0.0013	0.266	0.039	0.09	0.13	0.25	0.0936	0.0016	0.0069	no value	NAN	0.0043	0.0098	10.63	0.18	930	150	164	98	190	576.7	9.5	40	no value	NAN	FILENAME: VP-X-TS-03_062.FIN2;
TS03_60	VP-X-TS-03_063.FIN2	04/08/2012 (7) 02:51:41.24	04/08/2012 (7)	02:51:41.24	19.97	VP-X-TS-03_063.FIN2	0.860	0.024	0.037	0.1037	0.0016	0.0054		0.5021532	0.0599	0.0015	0.0021	no value	NAN	no value	NAN	635.6	9.2	32	633	13	20	no value	NAN	134	36	7.9	2.2	38	10	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.643202	0.15	605	30	6.77	0.76	0.871	0.018	0.028	0.1039	0.0017	0.0058	no value	NAN	9.65	0.16	0.06080	0.00041	632	15	636.8	9.7	15	636.7	9.8	34	no value	NAN	-0.0010	0.0020	-0.0010	0.0020	0.198	0.038	-0.84	0.24	0.36	0.0888	0.0024	0.0084	no value	NAN	-0.083	0.023	11.42	0.35	1320	260	-20	180	270	548	15	50	no value	NAN	FILENAME: VP-X-TS-03_063.FIN2;
TS03_61	VP-X-TS-03_064.FIN2	04/08/2012 (7) 02:53:01.24	04/08/2012 (7)	02:53:01.24	19.97	VP-X-TS-03_064.FIN2	4.897	0.064	0.070	0.3160	0.0039	0.0065		0.06509373	0.11173	0.00068	0.0016	no value	NAN	no value	NAN	1771	19	32	1801	11	12	no value	NAN	1680	800	185	88	33	16	no value	NAN	no value	NAN	no value	NAN	no value	NAN	3.164557	0.040	1829.1	7.3	3.51	0.40	4.78	0.10	0.11	0.3154	0.0042	0.0070	no value	NAN	3.171	0.043	0.1096	0.0010	1795	17	1780	18	20	1766	21	34	no value	NAN	0.0033	0.0014	0.0033	0.0014	0.350	0.036	4.580	0.070	0.076	0.3139	0.0039	0.0065	no value	NAN	0.1066	0.0010	3.182	0.040	1739	18	1747	13	14	1760	19	32	no value	NAN	FILENAME: VP-X-TS-03_064.FIN2;
TS03_62	VP-X-TS-03_065.FIN2	04/08/2012 (7) 02:54:20.24	04/08/2012 (7)	02:54:20.24	19.97	VP-X-TS-03_065.FIN2	0.826	0.027	0.039	0.0974	0.0017	0.0054		0.5692144	0.0612	0.0019	0.0024	no value	NAN	no value	NAN	599	10	32	611	14	21	no value	NAN	-800	1600	-7	67	-50	430	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.26694	0.19	675	36	8.30	0.92	0.806	0.019	0.027	0.0972	0.0019	0.0059	no value	NAN	10.32	0.20	0.06021	0.00044	610	16	599	11	15	597	11	35	no value	NAN	0.0020	0.0025	0.0020	0.0025	0.159	0.036	-1.42	0.34	0.49	0.0782	0.0033	0.011	no value	NAN	-0.227	0.060	14.19	0.86	1320	220	100	220	310	484	20	64	no value	NAN	FILENAME: VP-X-TS-03_065.FIN2;
TS03_63	VP-X-TS-03_067.FIN2	04/08/2012 (7) 02:58:21.24	04/08/2012 (7)	02:58:21.24	19.97	VP-X-TS-03_067.FIN2	0.825	0.020	0.034	0.0986	0.0015	0.0053		0.5451576	0.0602	0.0014	0.0021	no value	NAN	no value	NAN	605.7	8.6	31	610	11	19	no value	NAN	120	49	-13	58	-110	500	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.14199	0.15	611	28	6.34	0.67	0.823	0.017	0.029	0.0987	0.0016	0.0058	no value	NAN	10.19	0.16	0.06011	0.00038	605	14	610.1	9.5	16	606.7	9.3	34	no value	NAN	0.0002	0.0018	0.0002	0.0018	0.213	0.038	-0.36	0.17	0.28	0.0869	0.0020	0.0073	no value	NAN	-0.035	0.014	11.47	0.28	1070	200	-20	150	250	538	12	44	no value	NAN	FILENAME: VP-X-TS-03_067.FIN2;
TS03_64	VP-X-TS-03_068.FIN2	04/08/2012 (7) 02:59:41.24	04/08/2012 (7)	02:59:41.24	19.97	VP-X-TS-03_068.FIN2	0.867	0.023	0.036	0.1004	0.0014	0.0053		0.5257853	0.0614	0.0015	0.0021	no value	NAN	no value	NAN	616.8	8.0	31	633	13	20	no value	NAN	-50	210	-3	12	1	41	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.960159	0.14	674	30	6.14	0.66	0.831	0.015	0.023	0.0999	0.0014	0.0054	no value	NAN	10.04	0.14	0.06074	0.00043	629	15	613.8	8.3	13	613.7	8.0	31	no value	NAN	0.0022	0.0018	0.0022	0.0018	0.213	0.038	-0.48	0.19	0.30	0.0885	0.0022	0.0085	no value	NAN	-0.058	0.019	11.53	0.31	1050	200	60	130	210	549	13	52	no value	NAN	FILENAME: VP-X-TS-03_068.FIN2;
TS03_65	VP-X-TS-03_069.FIN2	04/08/2012 (7) 03:01:01.24	04/08/2012 (7)	03:01:01.24	19.97	VP-X-TS-03_069.FIN2	0.817	0.029	0.040	0.0983	0.0017	0.0054		0.558839	0.0590	0.0020	0.0025	no value	NAN	no value	NAN	605.0	9.9	31	601	17	23	no value	NAN	50	21	2.9	1.3	8.8	4.4	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.17294	0.18	601	35	8.69	0.93	0.810	0.019	0.026	0.0984	0.0018	0.0056	no value	NAN	10.25	0.19	0.05981	0.00046	595	17	602	11	14	605	10	33	no value	NAN	0.0000	0.0025	0.0000	0.0025	0.159	0.036	-2.48	0.41	0.56	0.0702	0.0037	0.012	no value	NAN	-0.337	0.067	15.55	0.96	1880	210	220	220	300	436	22	70	no value	NAN	FILENAME: VP-X-TS-03_069.FIN2;
TS03_66	VP-X-TS-03_070.FIN2	04/08/2012 (7) 03:02:21.24	04/08/2012 (7)	03:02:21.24	19.97	VP-X-TS-03_070.FIN2	0.952	0.031	0.042	0.1038	0.0015	0.0053		0.4919049	0.0646	0.0022	0.0026	no value	NAN	no value	NAN	637.2	8.9	31	682	16	21	no value	NAN	21	48	2.9	3.5	6.6	7.8	no value	NAN	no value	NAN	no value	NAN	no value	NAN	9.633911	0.14	749	48	9.1	1.0	0.866	0.017	0.023	0.1030	0.0016	0.0058	no value	NAN	9.76	0.16	0.06080	0.00044	635	15	631.9	9.4	13	631.5	9.6	34	no value	NAN	0.0057	0.0028	0.0057	0.0028	0.150	0.036	-0.38	0.25	0.33	0.0912	0.0025	0.0087	no value	NAN	-0.034	0.020	11.00	0.29	1200	180	410	120	160	562	15	51	no value	NAN	FILENAME: VP-X-TS-03_070.FIN2;
TS03_67	VP-X-TS-03_071.FIN2	04/08/2012 (7) 03:06:21.24	04/08/2012 (7)	03:06:21.24	19.97	VP-X-TS-03_071.FIN2	0.877	0.017	0.032	0.0979	0.0012	0.0052		0.5425477	0.0638	0.0011	0.0018	no value	NAN	no value	NAN	601.9	6.8	31	637.9	9.0	17	no value	NAN	510	260	42	16	155	74	no value	NAN	no value	NAN	no value	NAN	no value	NAN	10.2145	0.12	722	27	5.22	0.63	0.810	0.013	0.026	0.0970	0.0012	0.0054	no value	NAN	10.32	0.13	0.06046	0.00032	623	12	601.5	7.4	14	597.7	7.2	33	no value	NAN	0.0058	0.0014	0.0058	0.0014	0.263	0.039	0.610	0.050	0.097	0.0954	0.0012	0.0053	no value	NAN	0.0461	0.0035	10.50	0.13	651	85	478	33	63	587.4	6.9	31	no value	NAN	FILENAME: VP-X-TS-03_071.FIN2;
